CO_GRUPO;DESCRICAO
1;ADMINISTRAÇÃO
2;DIREITO
5;MEDICINA VETERINÁRIA
6;ODONTOLOGIA
12;MEDICINA
13;CIÊNCIAS ECONÔMICAS
17;AGRONOMIA
18;PSICOLOGIA
19;FARMÁCIA
21;ARQUITETURA E URBANISMO
22;CIÊNCIAS CONTÁBEIS
23;ENFERMAGEM
26;DESIGN
27;FONOAUDIOLOGIA
28;NUTRIÇÃO
29;TURISMO
36;FISIOTERAPIA
38;SERVIÇO SOCIAL
51;ZOOTECNIA
55;BIOMEDICINA
67;SECRETARIADO EXECUTIVO
69;TECNOLOGIA EM RADIOLOGIA
72;TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
73;TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL
76;TECNOLOGIA EM GESTÃO DA PRODUÇÃO INDUSTRIAL
79;TECNOLOGIA EM REDES DE COMPUTADORES
81;RELAÇÕES INTERNACIONAIS
83;TECNOLOGIA EM DESIGN DE MODA
84;TECNOLOGIA EM MARKETING
85;TECNOLOGIA EM PROCESSOS GERENCIAIS
86;TECNOLOGIA EM GESTÃO DE RECURSOS HUMANOS
87;TECNOLOGIA EM GESTÃO FINANCEIRA
88;TECNOLOGIA EM GASTRONOMIA
90;TECNOLOGIA EM AGRONEGÓCIOS
91;TECNOLOGIA EM GESTÃO HOSPITALAR
92;TECNOLOGIA EM GESTÃO AMBIENTAL
93;TECNOLOGIA EM GESTÃO COMERCIAL
94;TECNOLOGIA EM LOGÍSTICA
95;TECNOLOGIA EM ESTÉTICA E COSMÉTICA
100;ADMINISTRAÇÃO PÚBLICA
101;TEOLOGIA
102;TECNOLOGIA EM COMÉRCIO EXTERIOR
103;TECNOLOGIA EM DESIGN DE INTERIORES
104;TECNOLOGIA EM DESIGN GRÁFICO
105;TECNOLOGIA EM GESTÃO DA QUALIDADE
106;TECNOLOGIA EM GESTÃO PÚBLICA
701;MATEMÁTICA (BACHARELADO)
702;MATEMÁTICA (LICENCIATURA)
803;COMUNICAÇÃO SOCIAL - JORNALISMO
804;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
903;LETRAS-PORTUGUÊS (BACHARELADO)
904;LETRAS-PORTUGUÊS (LICENCIATURA)
905;LETRAS-PORTUGUÊS E INGLÊS (LICENCIATURA)
906;LETRAS-PORTUGUÊS E ESPANHOL (LICENCIATURA)
1401;FÍSICA (BACHARELADO)
1402;FÍSICA (LICENCIATURA)
1501;QUÍMICA (BACHARELADO)
1502;QUÍMICA (LICENCIATURA)
1601;CIÊNCIAS BIOLÓGICAS (BACHARELADO)
1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA)
2001;PEDAGOGIA (LICENCIATURA)
2401;HISTÓRIA (BACHARELADO)
2402;HISTÓRIA (LICENCIATURA)
2501;ARTES VISUAIS (LICENCIATURA)
3001;GEOGRAFIA (BACHARELADO)
3002;GEOGRAFIA (LICENCIATURA)
3201;FILOSOFIA (BACHARELADO)
3202;FILOSOFIA (LICENCIATURA)
3501;EDUCAÇÃO FÍSICA (BACHARELADO)
3502;EDUCAÇÃO FÍSICA (LICENCIATURA)
4003;ENGENHARIA DA COMPUTAÇÃO
4004;CIÊNCIA DA COMPUTAÇÃO (BACHARELADO)
4005;CIÊNCIA DA COMPUTAÇÃO (LICENCIATURA)
4006;SISTEMAS DE INFORMAÇÃO
4301;MÚSICA (LICENCIATURA)
5401;CIÊNCIAS SOCIAIS (BACHARELADO)
5402;CIÊNCIAS SOCIAIS (LICENCIATURA)
5710;ENGENHARIA CIVIL
5806;ENGENHARIA ELÉTRICA
5809;ENGENHARIA DE COMPUTAÇÃO
5814;ENGENHARIA DE CONTROLE E AUTOMAÇÃO
5902;ENGENHARIA MECÂNICA
6002;ENGENHARIA DE ALIMENTOS
6008;ENGENHARIA QUÍMICA
6009;ENGENHARIA DE ALIMENTOS
6208;ENGENHARIA DE PRODUÇÃO
6306;ENGENHARIA
6307;ENGENHARIA AMBIENTAL
6405;ENGENHARIA FLORESTAL
6410;TECNOLOGIA EM SEGURANÇA NO TRABALHO